{num='No.', reference='Ref.', date='Date', commonName='Common Name', scientificName='Scientific Name', count='Number', location='Location', county='County'}
{num='1.', reference='IB117942', date='02 May 19', commonName='Swift', scientificName='Apus apus', count='1', location='Tacumshin', county='Wexford'}
{num='2.', reference='IB117941', date='02 May 19', commonName='Cuckoo', scientificName='Cuculus canorus', count='1', location='Ardee Bog', county='Louth'}
{num='3.', reference='IB117940', date='02 May 19', commonName='Reed Warbler', scientificName='Acrocephalus scirpaceus', count='1', location='Tacumshin', county='Wexford'}
{num='4.', reference='IB117939', date='02 May 19', commonName='Bearded Reedling', scientificName='Panurus biarmicus', count='3', location='Tacumshin', county='Wexford'}
{num='5.', reference='IB117938', date='02 May 19', commonName='Whimbrel', scientificName='Numenius phaeopus', count='50', location='Tacumshin', county='Wexford'}
{num='6.', reference='IB117937', date='02 May 19', commonName='Garganey', scientificName='Anas querquedula', count='3', location='Tacumshin', county='Wexford'}
{num='7.', reference='IB117936', date='02 May 19', commonName='Marsh Harrier', scientificName='Circus aeruginosus', count='1', location='Tacumshin', county='Wexford'}
{num='8.', reference='IB117935', date='02 May 19', commonName='Cattle Egret', scientificName='Bubulcus ibis', count='1', location='Cromane', county='Kerry'}
{num='9.', reference='IB117934', date='02 May 19', commonName='Birding Opportunity', scientificName='Initial Sighting', count='1', location='Skerries', county='Dublin'}
{num='10.', reference='IB117933', date='02 May 19', commonName='Corncrake', scientificName='Crex crex', count='2', location='Tory Island', county='Donegal'}
{num='11.', reference='IB117932', date='02 May 19', commonName='Wheatear', scientificName='Oenanthe oenanthe', count='1', location='Dun Laoghaire', county='Dublin'}
{num='12.', reference='IB117931', date='02 May 19', commonName='Sand Martin', scientificName='Riparia riparia', count='3', location='Dun Laoghaire', county='Dublin'}
{num='13.', reference='IB117930', date='02 May 19', commonName='Common Sandpiper', scientificName='Actitis hypoleucos', count='2', location='Dun Laoghaire', county='Dublin'}
{num='14.', reference='IB117929', date='02 May 19', commonName='Wheatear', scientificName='Oenanthe oenanthe', count='1', location='Dun Laoghaire', county='Dublin'}
{num='15.', reference='IB117928', date='02 May 19', commonName='Swift', scientificName='Apus apus', count='5', location='Macroom', county='Cork'}
{num='16.', reference='IB117927', date='02 May 19', commonName='Swift', scientificName='Apus apus', count='5', location='Carrigrohane', county='Cork'}
{num='17.', reference='IB117926', date='02 May 19', commonName='Swift', scientificName='Apus apus', count='3', location='Cashel', county='Tipperary'}
{num='18.', reference='IB117925', date='01 May 19', commonName='Whimbrel', scientificName='Numenius phaeopus', count='56', location='Hackett Lough', county='Galway'}
{num='19.', reference='IB117924', date='01 May 19', commonName='Great Northern Diver', scientificName='Gavia immer', count='1', location='Courtmacsherry', county='Cork'}
{num='20.', reference='IB117923', date='01 May 19', commonName='Whimbrel', scientificName='Numenius phaeopus', count='50', location='Courtmacsherry', county='Cork'}
{num='21.', reference='IB117922', date='01 May 19', commonName='Buzzard', scientificName='Buteo buteo', count='1', location='Bandon', county='Cork'}
{num='22.', reference='IB117921', date='01 May 19', commonName='White Wagtail', scientificName='Motacilla a. alba', count='2', location='Black Rock', county='Kerry'}
